f,signal,A,B,gamma,gammadot,K,lnBFmax,Popt,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B.1,V,R,J,H,K.1,u,g,r,i,z,RA,DEC
S9/tess2019058134432-s0009-0000000106629292-0139-s_lc_GLST.Robj,sig1,3.15540179613683,-3.37509803298625,0.140460677486844,-0.0153955004348676,4.62037306148877,46.4287812559355,8.64133906050693,TIC106629292,0.243697,CD-36  6589,160.2887681187,-36.8954627084,0,0,90,32,10 41 09.30435,-36 53 43.6658,**,PM*|*  |IR |PM*|UV |UV,59.56,NA,M0.5,NA,63.9761,212.45,-218.65,NA,NA,NA,11.422,9.944,8.996,6.905,6.217,5.993,NA,10.677,9.269,8.604,NA,160.2888,-36.8954
S9/tess2019058134432-s0009-0000000106629292-0139-s_lc_GLST.Robj,sig2,0.310884549666748,-2.20161498892442,0.498637071486916,-0.043897511673491,2.2234562650698,3.3347956624427,5.9700327980022,TIC106629292,0.243697,CD-36  6589,160.2887681187,-36.8954627084,0,0,90,32,10 41 09.30435,-36 53 43.6658,**,PM*|*  |IR |PM*|UV |UV,59.56,NA,M0.5,NA,63.9761,212.45,-218.65,NA,NA,NA,11.422,9.944,8.996,6.905,6.217,5.993,NA,10.677,9.269,8.604,NA,160.2888,-36.8954
S9/tess2019058134432-s0009-0000000106629292-0139-s_lc_GLST.Robj,sig3,0.24361161553944,-2.00388257440517,0.0360901109424718,-0.0018970211876238,2.01863617108939,0.960343452569049,1.54217510516498,TIC106629292,0.243697,CD-36  6589,160.2887681187,-36.8954627084,0,0,90,32,10 41 09.30435,-36 53 43.6658,**,PM*|*  |IR |PM*|UV |UV,59.56,NA,M0.5,NA,63.9761,212.45,-218.65,NA,NA,NA,11.422,9.944,8.996,6.905,6.217,5.993,NA,10.677,9.269,8.604,NA,160.2888,-36.8954
S9/tess2019058134432-s0009-0000000106630584-0139-s_lc_GLST.Robj,sig1,-1.59009008739106,-21.3578057030569,-2.1847773921024,0.139166567204208,21.4169150657967,1694.33608659298,2.97494700066555,TIC106630584,0.152483,CPD-35  4332,160.4610179302,-36.6307601625,0,0,90,8,10 41 50.64430,-36 37 50.7366,PM*,*  |IR |PM*|*i*|**,31.56,NA,M2+V,NA,56.3844,-96.73,68.44,NA,NA,NA,NA,NA,11.29,8.09,7.45,7.221,NA,NA,NA,NA,NA,160.461,-36.6308
S9/tess2019058134432-s0009-0000000106630584-0139-s_lc_GLST.Robj,sig2,-4.26513358084844,16.056254303967,-3.57717149165856,0.137712900676506,16.6130872126809,966.8924078176,6.43755986883711,TIC106630584,0.152483,CPD-35  4332,160.4610179302,-36.6307601625,0,0,90,8,10 41 50.64430,-36 37 50.7366,PM*,*  |IR |PM*|*i*|**,31.56,NA,M2+V,NA,56.3844,-96.73,68.44,NA,NA,NA,NA,NA,11.29,8.09,7.45,7.221,NA,NA,NA,NA,NA,160.461,-36.6308
S9/tess2019058134432-s0009-0000000106630584-0139-s_lc_GLST.Robj,sig3,-3.70486853034525,13.1861511989299,-0.512117701976226,0.0589388768054939,13.6967380886174,694.374172185316,1.4097822640313,TIC106630584,0.152483,CPD-35  4332,160.4610179302,-36.6307601625,0,0,90,8,10 41 50.64430,-36 37 50.7366,PM*,*  |IR |PM*|*i*|**,31.56,NA,M2+V,NA,56.3844,-96.73,68.44,NA,NA,NA,NA,NA,11.29,8.09,7.45,7.221,NA,NA,NA,NA,NA,160.461,-36.6308
S9/tess2019058134432-s0009-0000000106630585-0139-s_lc_GLST.Robj,sig1,15.8260005663905,-0.499640174159643,2.3351415434164,-0.151087197093903,15.8338856327506,720.539764826441,5.86381669521891,TIC106630585,0.127322,CD-35  6662,160.4659783822,-36.6333691796,0,0,90,24,10 41 51.83481,-36 38 00.1290,PM*,PM*|PM*|IR |*  |**,30.7,NA,M0Vk:,NA,56.2501,-93.44,69.9,NA,NA,NA,11.608,10.175,9.252,7.233,6.642,6.387,NA,10.943,9.598,8.933,NA,160.466,-36.6334
S9/tess2019058134432-s0009-0000000106630585-0139-s_lc_GLST.Robj,sig2,3.68552027985419,-8.82400032719482,0.23239844341282,0.017523015308049,9.56274236333651,234.400243823053,9.52097019970647,TIC106630585,0.127322,CD-35  6662,160.4659783822,-36.6333691796,0,0,90,24,10 41 51.83481,-36 38 00.1290,PM*,PM*|PM*|IR |*  |**,30.7,NA,M0Vk:,NA,56.2501,-93.44,69.9,NA,NA,NA,11.608,10.175,9.252,7.233,6.642,6.387,NA,10.943,9.598,8.933,NA,160.466,-36.6334
S9/tess2019058134432-s0009-0000000106630585-0139-s_lc_GLST.Robj,sig3,4.1729730162007,6.4882026384509,-0.654368441686194,0.0730596750712887,7.71430342101867,160.764684044625,3.02440293377801,TIC106630585,0.127322,CD-35  6662,160.4659783822,-36.6333691796,0,0,90,24,10 41 51.83481,-36 38 00.1290,PM*,PM*|PM*|IR |*  |**,30.7,NA,M0Vk:,NA,56.2501,-93.44,69.9,NA,NA,NA,11.608,10.175,9.252,7.233,6.642,6.387,NA,10.943,9.598,8.933,NA,160.466,-36.6334
S9/tess2019058134432-s0009-0000000106631948-0139-s_lc_GLST.Robj,sig1,3.66966224728217,-6.05085411549619,2.91273244799142,-0.217253186422515,7.07666987615964,769.904579229107,6.12197859844974,TIC106631948,0.064773,TYC 7723-2155-1,160.4323090524,-38.2067342914,0,0,90,2,10 41 43.75417,-38 12 24.2434,Star,*  |*  |IR,16.92,NA,,NA,11.2292,-20.73,25.69,NA,NA,NA,12.06,11.06,NA,9.496,9.01,8.952,NA,NA,NA,NA,NA,160.432305,-38.206752
