file,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,RA,DEC,signal,A,B,gamma,gammadot,K,lnBFmax,Popt
S7/tess2019006130736-s0007-0000000004769478-0131-s_lc.dat,TIC4769478,2.778861,WISEA J072936.63-220851.7,112.4022041611,-22.1475045535,0,0,90,1,07 29 36.52900,-22 08 51.0164,PM*,IR |PM*|IR,NA,NA,,NA,12.1894,147.08,-68.48,NA,NA,NA,NA,NA,NA,12.482,11.976,11.658,NA,NA,NA,NA,NA,112.403037543416,-22.1475,sig2,0.466488356774579,-0.351549501493713,-0.00170521395284164,0.000154516213864804,0.584121938474087,5.6735194041429,0.948922027965375
S7/tess2019006130736-s0007-0000000004769478-0131-s_lc.dat,TIC4769478,2.778861,WISEA J072936.63-220851.7,112.4022041611,-22.1475045535,0,0,90,1,07 29 36.52900,-22 08 51.0164,PM*,IR |PM*|IR,NA,NA,,NA,12.1894,147.08,-68.48,NA,NA,NA,NA,NA,NA,12.482,11.976,11.658,NA,NA,NA,NA,NA,112.403037543416,-22.1475,sig3,0.000431243353520031,0.56365742175843,-0.0153431213657843,0.0012235797783816,0.563657586726366,4.50275882991253,0.877029056802033
S7/tess2019006130736-s0007-0000000004780784-0131-s_lc.dat,TIC4780784,0.062762,HD 293586,107.7974321813,-2.1424873292,0,0,90,3,07 11 11.38372,-02 08 32.9544,Star,*  |IR,NA,NA,F0,NA,12.3521,-1.86,-38.07,NA,NA,NA,10.59,9.88,NA,8.663,8.37,8.273,NA,NA,NA,NA,NA,107.797449624387,-2.142487,sig1,7.27571634822755,-12.9338499196236,2.07734179338759,-0.163859999980751,14.839828911521,876.540677502931,8.76990929948297
S7/tess2019006130736-s0007-0000000004780784-0131-s_lc.dat,TIC4780784,0.062762,HD 293586,107.7974321813,-2.1424873292,0,0,90,3,07 11 11.38372,-02 08 32.9544,Star,*  |IR,NA,NA,F0,NA,12.3521,-1.86,-38.07,NA,NA,NA,10.59,9.88,NA,8.663,8.37,8.273,NA,NA,NA,NA,NA,107.797449624387,-2.142487,sig2,12.8508181412761,-1.73140672849601,-1.09728677115524,0.0907698065006431,12.9669308689308,745.813034247088,5.25071304806959
S7/tess2019006130736-s0007-0000000004780784-0131-s_lc.dat,TIC4780784,0.062762,HD 293586,107.7974321813,-2.1424873292,0,0,90,3,07 11 11.38372,-02 08 32.9544,Star,*  |IR,NA,NA,F0,NA,12.3521,-1.86,-38.07,NA,NA,NA,10.59,9.88,NA,8.663,8.37,8.273,NA,NA,NA,NA,NA,107.797449624387,-2.142487,sig3,6.57162540860089,6.07821815351663,-0.463382478192358,0.00403141537155876,8.95159183791955,341.664487200914,2.57360984451561
S7/tess2019006130736-s0007-0000000004785011-0131-s_lc.dat,TIC4785011,0.540155,UCAC4 433-030767,107.7873317979,-3.5699337792,0,0,90,4,07 11 08.95963,-03 34 11.7616,PM*,PM*|IR |PM*|*  |PM*,-13.03,NA,M1.0V,NA,25.9074,33.3,-77.8,NA,NA,NA,NA,12.016,11.496,9.097,8.424,8.259,NA,12.729,11.396,10.64,NA,107.787478273309,-3.5699,sig1,0.110886494372978,-0.621007338743201,0.0758765203406951,-0.00567039869325566,0.63082955654221,7.52746968344627,8.9961169125577
S7/tess2019006130736-s0007-0000000004785011-0131-s_lc.dat,TIC4785011,0.540155,UCAC4 433-030767,107.7873317979,-3.5699337792,0,0,90,4,07 11 08.95963,-03 34 11.7616,PM*,PM*|IR |PM*|*  |PM*,-13.03,NA,M1.0V,NA,25.9074,33.3,-77.8,NA,NA,NA,NA,12.016,11.496,9.097,8.424,8.259,NA,12.729,11.396,10.64,NA,107.787478273309,-3.5699,sig2,0.485596974907396,-0.130772154427325,0.0093211337286157,-0.000743111710894857,0.502897383581161,1.8708771384496,5.48501969181788
S7/tess2019006130736-s0007-0000000004785011-0131-s_lc.dat,TIC4785011,0.540155,UCAC4 433-030767,107.7873317979,-3.5699337792,0,0,90,4,07 11 08.95963,-03 34 11.7616,PM*,PM*|IR |PM*|*  |PM*,-13.03,NA,M1.0V,NA,25.9074,33.3,-77.8,NA,NA,NA,NA,12.016,11.496,9.097,8.424,8.259,NA,12.729,11.396,10.64,NA,107.787478273309,-3.5699,sig3,-0.270274235661119,-0.218255950377088,0.00173047442613629,-0.000135889477031146,0.347395771904622,-5.2290185518209,0.128890733018487
S7/tess2019006130736-s0007-0000000004827953-0131-s_lc.dat,TIC4827953,0.351868,*  21 Mon,107.8483989626,-0.3019287019,0,0,90,101,07 11 23.61575,-00 18 06.9433,PulsV*delSct,dS*|V* |IR |UV |UV |dS*|*,34.5,NA,F2IV,NA,11.6824,-26.24,-10.45,NA,NA,NA,5.715,5.428,NA,4.955,4.775,4.644,NA,NA,NA,NA,NA,107.848327517996,-0.301862,sig1,36.8835276249757,-68.2443287490151,-1.28755134370257,0.297398136414292,77.5737263283516,42267.8036261246,1.18577924201303
S7/tess2019006130736-s0007-0000000004827953-0131-s_lc.dat,TIC4827953,0.351868,*  21 Mon,107.8483989626,-0.3019287019,0,0,90,101,07 11 23.61575,-00 18 06.9433,PulsV*delSct,dS*|V* |IR |UV |UV |dS*|*,34.5,NA,F2IV,NA,11.6824,-26.24,-10.45,NA,NA,NA,5.715,5.428,NA,4.955,4.775,4.644,NA,NA,NA,NA,NA,107.848327517996,-0.301862,sig2,-13.4447983565858,-45.0644153600882,0.95744650915571,-0.101180472131722,47.0272701163464,15747.8115018975,1.05546653830913
