f,signal,A,B,gamma,gammadot,K,lnBFmax,Popt
S7/tess2019006130736-s0007-0000000000687308-0131-s_lc_GLST.Robj,sig1,0.2473140917906,-0.0181445763120054,0.0385963584030009,-0.00357064578142934,0.247978800803116,-9.14351919791744,0.0971161048381317
S7/tess2019006130736-s0007-0000000000687308-0131-s_lc_GLST.Robj,sig2,-0.231729243858815,0.0312254481347333,-0.000148184629461105,3.15725301993057e-05,0.233823589636702,-9.39634858384704,0.118487810043781
S7/tess2019006130736-s0007-0000000000687308-0131-s_lc_GLST.Robj,sig3,-0.0156520566681482,-0.223229335667518,0.000633182227512171,-5.15401081074782e-05,0.223777396491478,-9.56912235920577,0.0839668360347762
S7/tess2019006130736-s0007-0000000000823128-0131-s_lc_GLST.Robj,sig1,-2.55553077685501,3.9697566836851,-1.23596804928951,0.0885850827996934,4.72119748359626,67.8872931857281,1.19012591291769
S7/tess2019006130736-s0007-0000000000823128-0131-s_lc_GLST.Robj,sig2,0.893501958761716,4.33579910918128,-0.0796317617351374,0.00790439035380051,4.42690633123044,58.6246081859581,0.641205892633463
S7/tess2019006130736-s0007-0000000000823128-0131-s_lc_GLST.Robj,sig3,-3.39064634626625,2.48788595335916,-0.204177182390886,0.00882760681783781,4.20547965901281,52.0427870239346,2.05394522792254
S7/tess2019006130736-s0007-0000000000877333-0131-s_lc_GLST.Robj,sig1,166.555945196865,-71.0288035729982,31.3456941291941,-3.50175190227285,181.068975303426,109956.299414383,8.15452248187616
S7/tess2019006130736-s0007-0000000000877333-0131-s_lc_GLST.Robj,sig2,68.1450090889943,37.6214964320179,-4.49919226700747,-0.218340509995074,77.8403446647267,21140.8621741422,4.55620061647547
S7/tess2019006130736-s0007-0000000000877333-0131-s_lc_GLST.Robj,sig3,18.748645068817,-46.8503339655796,20.2780049972457,-1.6572865785392,50.4625156388662,8084.2032410304,11.5631444755646
S7/tess2019006130736-s0007-0000000000925623-0131-s_lc_GLST.Robj,sig1,-0.168645161657382,0.422918898415997,-0.112335627682417,0.0089719210247142,0.455303838318815,-7.86336498562377,0.103241027595009
S7/tess2019006130736-s0007-0000000000925623-0131-s_lc_GLST.Robj,sig2,-0.024381782471108,0.458029448808584,-0.0956309728625221,0.0032442702333439,0.458677934167716,-8.07851854687885,6.62736134881571
